reviewId,content,score,at,Label
bd9c1b5d-a932-492e-9dc8-f2dea1c62d26,"When i want to login again it said connection error so i was like ""oh maybe all i need to do is just turn of and turn on the wifi it Will be good and yeah"" it didnt, im trying it over over again and my internet is actually really good yk its on full bar, the gameplay and everything is actually really great only that, i actually experienced this for 4 times now. This is a new acc btw, i feel dissapointed.",2,2025-05-14T15:04:19,Negatif
657bedd0-e2ae-40ab-b32e-06836f8d0ff8,"ini emang gue doang yang dapet bug black screen apa emang new player pada dapet juga? please perbaiki, semua data udah didownload loh tapi cuma kedengaran suaranya doang",1,2025-05-14T14:17:30,Negatif
e740d163-1d0e-4726-809a-ecd536812b54,Tae-chan wooooooo~~ please add the Shiny Girl song from the anime SHY,5,2025-05-13T17:52:06,Positif
86f9579f-4c82-4296-a8e5-0ff39e4d7b83,"main game ini udah sekitar 2 tahun lebih, pas awal main bagus lancar lancar aja tapi setelah update 3D jadi ngelag parahh apa lagi waktu mau ganti costume 😔😔 waktu lagi main juga kadang ngelag padahal sinyal lancar dan pas pake wifi juga, apa hpku aja ya yang kentang :D ( help tambah lag, karakternya ga muncul background juga cuma item 😭 )",3,2025-05-12T07:59:39,
d8c8ef35-7827-46db-8548-f3fb777ec5d9,bug black screen -_-,2,2025-05-10T13:48:05,Negatif
b68e7c1d-4c71-4cb8-97cc-5a89d520d7ab,aku syng Mashiro:),5,2025-05-10T09:48:53,Positif
26265aa6-ea33-4ac3-96b9-234b57bbbf17,"Gamenya bagus, tpi bug black screen pas masuk lobby tolong segera diperbaiki.",4,2025-05-09T05:38:19,Positif
2085fdc4-b8d1-43d8-bc0f-fc953de26911,"Ganti developer bisa kali ya. Dulu jaman 2019 masih enak, sekarang macem sampah banyak bug ga jelas.",1,2025-05-08T05:38:16,Negatif
d41a32b5-0ef1-4426-bede-6a1f28795388,"Beh mantap, hanya saja bug jaringan yang sangat mengganggu",5,2025-05-07T22:36:38,Positif
f0784101-1750-4a08-9f1d-e8ffdaffe6a4,GATAU KENAPA TAPI AKU KAN BARU BANGET MAIN NI GAME EH PAS AWAL MAU MAIN MALAH KELUAR SENDIRI PADAHAL MASI SISA MEMORI NYA BANYAK💔,2,2025-05-07T14:29:49,Negatif
af858950-e1de-45b2-aee4-8399cee9f986,bagus ⭐⭐,5,2025-05-06T08:37:45,Positif
fcedfb39-2e7d-4e70-83d2-05befb30e75c,"GAME GAJELAS PAS GACHA DAPAT SSR MALAH CONNECTION ERROR. UDAH ITU GACHA GUA HILANG, MANA FREE GACHA NYA HANGUS PULAK.",1,2025-05-06T02:43:37,Negatif
07121647-e097-4612-b911-9dca6878faf3,"the game is good, the song is also if you can add more and if you can collab the same hatsune miku as it is good and the signal anyway I suggest you are more friendly so that the bad signals out there can still play",5,2025-05-05T08:21:21,Positif
bdb55c74-e167-4d78-af13-391a802d3924,"koneksi di in game sangat parah, pada koneksi gw bagus² aja! update bug baru kh? perbaikan lah bro!",3,2025-05-05T01:54:49,
fac34cf4-54f9-4d58-8304-4b44d75b4ad3,"Sering banget connection error, padahal jaringan lancar :(",3,2025-05-04T02:32:28,
ee01e859-3ae9-4e92-a6f8-be6face0e3f0,"ini kenapa black screen Mulu ya, dan gimana cara memperbaikinya, padahal spek hp ku 8/128",1,2025-05-04T02:14:34,Negatif
31f668d1-55da-4c93-b32a-e9f27caedfc6,"baru donwload background menu ngeblank, kenapa tuh kira-kira?",3,2025-05-03T23:41:56,
3a60b9d2-17ae-4163-a2f7-debac3680654,"saat saya baru mulai semua data nya udah aku donloadw,tapi pas ke tutorial selanjutnya layar nya gelap doang cuma ada gambar exit,rank,itu aja gak bisa di sentuh,jelekk banyak bug nya😡😡",1,2025-05-03T04:24:32,Negatif
ef76e675-7ab6-47c0-8706-4f76cc341867,"Layar saya saat masuk ke dalam game menjadi hitam,, saya tidak bisa memainkan game ini, tolong solusi nya bagaimana??",1,2025-05-01T06:26:34,Negatif
